Index	xSource	ySource	xTarget	yTarget
    0	     70	   2507	     70	   2507
    1	    418	   2677	    414	   2649
    2	    504	   2905	    506	   2879
    3	    616	   2721	    620	   2681
    4	    290	   2559	    288	   2545
    5	   1058	   2341	   1076	   2261
    6	     72	   2233	     72	   2233
    7	    280	   2129	    280	   2129
    8	     54	   2073	     54	   2073
    9	    782	   2143	    800	   2069
   10	    762	   2271	    784	   2207
   11	    634	   2161	    644	   2115
   12	    824	   1847	    830	   1783
   13	    340	   2001	    340	   2001
   14	    316	   1687	    316	   1687
   15	    462	   1685	    462	   1685
   16	   1062	   1685	   1086	   1661
   17	     90	   1655	     90	   1655
   18	    788	   1409	    788	   1409
   19	    796	   1321	    796	   1313
   20	    972	   1249	    976	   1183
   21	    874	   1119	    872	   1087
   22	    718	   1053	    718	   1053
   23	    526	   1035	    526	   1035
   24	    368	    971	    368	    971
   25	     66	    897	     66	    897
   26	    144	   1273	    144	   1273
   27	    756	    797	    756	    797
   28	    560	    623	    560	    623
   29	    746	    501	    788	    437
   30	    370	    533	    370	    533
   31	   1058	    543	   1060	    509
   32	   1076	     40	   1076	     40
   33	   1020	    280	   1020	    280
   34	    524	    342	    524	    342
   35	     92	    242	     92	    242
   36	    280	     88	    280	     88
   37	    800	     88	    804	     88
   38	   1251	     84	   1251	     84
   39	   2143	     52	   2143	     52
   40	   2073	    194	   2069	    200
   41	   1437	    172	   1437	    172
   42	   1265	    466	   1291	    428
   43	   1527	    548	   1703	    418
   44	   1319	   1062	   1349	    992
   45	   1347	    834	   1387	    778
   46	   1985	    970	   1995	    972
   47	   1689	   1160	   1711	   1132
   48	   1669	   1204	   1681	   1174
   49	   1509	   1306	   1523	   1252
   50	   1881	   1326	   1881	   1326
   51	   1859	   1486	   1859	   1486
   52	   1889	   1612	   1889	   1612
   53	   2049	   1558	   2049	   1558
   54	   1503	   1406	   1521	   1350
   55	   1387	   1820	   1401	   1796
   56	   1483	   2162	   1485	   2088
   57	   1667	   2584	   1667	   2584
   58	   1825	   2540	   1825	   2540
   59	   2085	   2136	   2085	   2136
   60	   2101	   1902	   2101	   1902
   61	   1921	   2757	   1921	   2757
