"","X2015_2012_1","T2_DEM_60_1_1_IJ_direct_xyDispAnual","T2_DEM_60_1_1_IJ_direct_xyzDispAnual","T2_DEM_60_1_1_IJ_direct_xyDispAnualError","T2_DEM_60_1_1_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.132","0.135","0.0467","0.0437","RMSE: 0.6304","RMSE: 0.57"
"Qu1.25%","1.0853","0.5519","0.5781","0.387","0.3624","Rsquared: 0.6783","Rsquared: 0.7115"
"Median","1.5032","0.8188","0.8609","0.5284","0.5055","MAE: 0.5548","MAE: 0.4987"
"Mean","1.3084","0.7536","0.8097","0.5548","0.4987",NA,NA
"Qu3.75%","1.6046","1.0207","1.0416","0.8042","0.6797",NA,NA
"Max","2.0302","1.2584","1.5573","1.0297","0.9734",NA,NA
"IQR","0.5194","0.4688","0.4635","0.4172","0.3173",NA,NA
"SD","0.5088","0.3113","0.3519","0.308","0.284",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","0","0","0","0",NA,NA
