"","X2015_2012_1","T2_DEM_60_1_4_IJ_direct_xyDispAnual","T2_DEM_60_1_4_IJ_direct_xyzDispAnual","T2_DEM_60_1_4_IJ_direct_xyDispAnualError","T2_DEM_60_1_4_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.134","0.137","0.0447","0.0023","RMSE: 0.8226","RMSE: 0.7767"
"Qu1.25%","1.0853","0.3672","0.3871","0.5921","0.4059","Rsquared: 0.3976","Rsquared: 0.4184"
"Median","1.5032","0.5605","0.6223","0.7125","0.703","MAE: 0.7265","MAE: 0.679"
"Mean","1.3084","0.5819","0.6294","0.7265","0.679",NA,NA
"Qu3.75%","1.6046","0.755","0.7645","0.9604","0.939",NA,NA
"Max","2.0302","1.2725","1.5806","1.4596","1.3272",NA,NA
"IQR","0.5194","0.3878","0.3775","0.3682","0.5331",NA,NA
"SD","0.5088","0.28","0.3251","0.397","0.388",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","0","0","0","0",NA,NA
