"","T2_DEM_60_2_1_IJ_direct_xyDisp","T2_DEM_60_2_1_IJ_direct_xyzDisp","T2_DEM_60_2_1_IJ_direct_xyDispAnual","T2_DEM_60_2_1_IJ_direct_xyzDispAnual","T2_DEM_60_2_1_IJ_direct_Aspect","T2_DEM_60_2_1_IJ_direct_Slope"
"Min.",6e-04,0.0082,1e-04,0.0014,0,-89.9199
"1st Qu.",1.922,2.1199,0.3203,0.3533,13.7048,-31.1397
"Median",3.4701,3.823,0.5783,0.6372,20.6754,-21.0358
"3rd Qu.",5.0085,5.5381,0.8348,0.923,34.2831,-11.8367
"Max.",8.079,10.8309,1.3465,1.8051,360,89.795
"NA's",2854200,2854200,2854200,2854200,2854200,2854200
"IQR",3.0866,3.4182,0.5144,0.5697,20.5783,19.303
"SD",1.9569,2.1917,0.3261,0.3653,72.3978,17.2176
