"","Index","XY_Displacement_year","XYZ_Displacement_year","T2_DEM_60_1_4_IJ_direct_xyDispAnual","T2_DEM_60_1_4_IJ_direct_xyzDispAnual","T2_DEM_60_1_4_IJ_direct_xyDispAnualError","T2_DEM_60_1_4_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.0178","0.039","-0.2241","-0.1783","RMSE: 0.4011","RMSE: 0.3976"
"Qu1.25%","7.5","0.2787","0.3723","0.2927","0.3803","-0.0485","-0.0333","Rsquared: 0.4306","Rsquared: 0.4754"
"Median","15","0.9124","0.9278","0.4485","0.5019","0.1228","0.1165","MAE: 0.3046","MAE: 0.3002"
"Mean","15","0.7088","0.7778","0.5374","0.5998","0.2203","0.2287",NA,NA
"Qu3.75%","22.5","1.111","1.1695","0.7641","0.775","0.4371","0.419",NA,NA
"Max","30","1.3583","1.5408","1.3132","1.5973","0.9115","0.9134",NA,NA
"IQR","15","0.8323","0.7972","0.4715","0.3947","0.4855","0.4524",NA,NA
"SD","9.0921","0.4734","0.4784","0.334","0.3629","0.3412","0.3311",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","2","2","2","2",NA,NA
