"","T2_DEM_60_1_2_IJ_direct_xyDisp","T2_DEM_60_1_2_IJ_direct_xyzDisp","T2_DEM_60_1_2_IJ_direct_xyDispAnual","T2_DEM_60_1_2_IJ_direct_xyzDispAnual","T2_DEM_60_1_2_IJ_direct_Aspect","T2_DEM_60_1_2_IJ_direct_Slope"
"Min.",0.0023,0.0074,4e-04,0.0012,0,-89.2654
"1st Qu.",1.5919,1.8006,0.2653,0.3001,12.8738,-32.1773
"Median",3.0103,3.3409,0.5017,0.5568,19.8542,-21.1536
"3rd Qu.",4.8864,5.3992,0.8144,0.8999,34.8696,-11.8181
"Max.",8.5576,9.9384,1.4263,1.6564,360,87.9713
"NA's",2842787,2842787,2842787,2842787,2842787,2842787
"IQR",3.2945,3.5986,0.5491,0.5998,21.9958,20.3591
"SD",2.1172,2.3009,0.3529,0.3835,88.2576,18.2351
