"","Index","XY_Displacement_year","XYZ_Displacement_year","T2_DEM_60_0_0_IJ_direct_xyDispAnual","T2_DEM_60_0_0_IJ_direct_xyzDispAnual","T2_DEM_60_0_0_IJ_direct_xyDispAnualError","T2_DEM_60_0_0_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.2895","0.2912","-0.5391","-0.6312","RMSE: 0.5766","RMSE: 0.579"
"Qu1.25%","7.5","0.2787","0.3723","0.3856","0.4054","-0.135","-0.073","Rsquared: 0.0523","Rsquared: 0.0027"
"Median","15","0.9124","0.9278","0.4113","0.4385","0.5004","0.4881","MAE: 0.5207","MAE: 0.5128"
"Mean","15","0.7088","0.7778","0.3937","0.4467","0.3151","0.331",NA,NA
"Qu3.75%","22.5","1.111","1.1695","0.4119","0.4843","0.7086","0.6803",NA,NA
"Max","30","1.3583","1.5408","0.5391","0.6838","0.9476","1.0693",NA,NA
"IQR","15","0.8323","0.7972","0.0264","0.0788","0.8437","0.7532",NA,NA
"SD","9.0921","0.4734","0.4784","0.061","0.0949","0.4909","0.4829",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","0","0","0","0",NA,NA
