"","X2015_2012_1","T1_Hill_61_IJ_direct_xyDispAnual","T1_Hill_61_IJ_direct_xyzDispAnual","T1_Hill_61_IJ_direct_xyDispAnualError","T1_Hill_61_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.0973","0.099","-0.5769","-0.8685","RMSE: 0.6065","RMSE: 0.5371"
"Qu1.25%","1.0853","0.6804","0.8089","0.3043","0.2699","Rsquared: 0.3448","Rsquared: 0.3918"
"Median","1.5032","0.917","1.0194","0.3936","0.3764","MAE: 0.5153","MAE: 0.462"
"Mean","1.3084","0.8572","0.9429","0.4512","0.3655",NA,NA
"Qu3.75%","1.6046","1.1281","1.1756","0.7129","0.5783",NA,NA
"Max","2.0302","1.5104","1.8019","1.4048","1.1831",NA,NA
"IQR","0.5194","0.4478","0.3667","0.4087","0.3084",NA,NA
"SD","0.5088","0.3645","0.3999","0.4171","0.405",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","0","0","0","0",NA,NA
