"","T2_DEM_60_0_0_IJ_direct_xyDisp","T2_DEM_60_0_0_IJ_direct_xyzDisp","T2_DEM_60_0_0_IJ_direct_xyDispAnual","T2_DEM_60_0_0_IJ_direct_xyzDispAnual","T2_DEM_60_0_0_IJ_direct_Aspect","T2_DEM_60_0_0_IJ_direct_Slope"
"Min.",1.6467,1.6471,0.2744,0.2745,1.8016,-78.2153
"1st Qu.",1.8077,1.9866,0.3013,0.3311,21.3417,-30.8093
"Median",2.4668,2.6084,0.4111,0.4347,21.4007,-20.7504
"3rd Qu.",2.4718,2.9135,0.412,0.4856,29.8581,-8.4584
"Max.",3.2635,14.9771,0.5439,2.4962,33.1347,58.6549
"NA's",2015051,2015437,2015051,2015437,2015051,2015437
"IQR",0.6641,0.9269,0.1107,0.1545,8.5164,22.3509
"SD",0.3767,0.6242,0.0628,0.104,4.7219,17.1452
