"","Index","XY_Displacement_year","XYZ_Displacement_year","T2_DEM_60_1_2_IJ_direct_xyDispAnual","T2_DEM_60_1_2_IJ_direct_xyzDispAnual","T2_DEM_60_1_2_IJ_direct_xyDispAnualError","T2_DEM_60_1_2_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.1187","0.1696","-0.3896","-0.3969","RMSE: 0.336","RMSE: 0.3327"
"Qu1.25%","7.5","0.2787","0.3723","0.4488","0.5165","-0.1232","-0.0999","Rsquared: 0.4472","Rsquared: 0.4953"
"Median","15","0.9124","0.9278","0.5721","0.6519","-0.0227","0.0203","MAE: 0.2471","MAE: 0.244"
"Mean","15","0.7088","0.7778","0.6955","0.7553","0.1073","0.1178",NA,NA
"Qu3.75%","22.5","1.111","1.1695","0.9813","1.0625","0.306","0.3268",NA,NA
"Max","30","1.3583","1.5408","1.3931","1.6015","0.8229","0.822",NA,NA
"IQR","15","0.8323","0.7972","0.5325","0.546","0.4292","0.4267",NA,NA
"SD","9.0921","0.4734","0.4784","0.377","0.4012","0.3248","0.3174",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","5","5","5","5",NA,NA
