"","Index","XY_Displacement_year","XYZ_Displacement_year","T1_Hill_61_IJ_direct_xyDispAnual","T1_Hill_61_IJ_direct_xyzDispAnual","T1_Hill_61_IJ_direct_xyDispAnualError","T1_Hill_61_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.0571","0.0571","-0.2093","-0.2023","RMSE: 0.224","RMSE: 0.2087"
"Qu1.25%","7.5","0.2787","0.3723","0.4679","0.5049","-0.0866","-0.0564","Rsquared: 0.7413","Rsquared: 0.7874"
"Median","15","0.9124","0.9278","0.8097","0.934","-0.008","0.0096","MAE: 0.1614","MAE: 0.1486"
"Mean","15","0.7088","0.7778","0.7275","0.7913","0.0572","0.0615",NA,NA
"Qu3.75%","22.5","1.111","1.1695","1.0232","1.1094","0.132","0.1465",NA,NA
"Max","30","1.3583","1.5408","1.1847","1.2572","0.6263","0.6505",NA,NA
"IQR","15","0.8323","0.7972","0.5553","0.6045","0.2186","0.2029",NA,NA
"SD","9.0921","0.4734","0.4784","0.358","0.3818","0.2205","0.2031",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","3","3","3","3",NA,NA
