"","Index","XY_Displacement_year","XYZ_Displacement_year","T2_DEM_60_2_1_IJ_direct_xyDispAnual","T2_DEM_60_2_1_IJ_direct_xyzDispAnual","T2_DEM_60_2_1_IJ_direct_xyDispAnualError","T2_DEM_60_2_1_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.1634","0.1729","-0.2136","-0.2034","RMSE: 0.2573","RMSE: 0.2552"
"Qu1.25%","7.5","0.2787","0.3723","0.519","0.5677","-0.0759","-0.068","Rsquared: 0.6579","Rsquared: 0.6824"
"Median","15","0.9124","0.9278","0.6749","0.7466","0.0768","0.0978","MAE: 0.1999","MAE: 0.197"
"Mean","15","0.7088","0.7778","0.7128","0.7758","0.101","0.1075",NA,NA
"Qu3.75%","22.5","1.111","1.1695","0.9836","1.0268","0.2486","0.2359",NA,NA
"Max","30","1.3583","1.5408","1.3381","1.6206","0.6161","0.6282",NA,NA
"IQR","15","0.8323","0.7972","0.4646","0.4591","0.3245","0.3039",NA,NA
"SD","9.0921","0.4734","0.4784","0.3256","0.3646","0.2412","0.2359",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","4","4","4","4",NA,NA
