"","X2015_2012_1","T2_DEM_60_0_1_IJ_direct_xyDispAnual","T2_DEM_60_0_1_IJ_direct_xyzDispAnual","T2_DEM_60_0_1_IJ_direct_xyDispAnualError","T2_DEM_60_0_1_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.1883","0.2619","-0.1126","-0.1809","RMSE: 1.1521","RMSE: 1.1059"
"Qu1.25%","1.0853","0.2764","0.2947","0.7938","0.7908","Rsquared: 0.2437","Rsquared: 0.0067"
"Median","1.5032","0.2914","0.3046","1.1926","1.1582","MAE: 1.0442","MAE: 1.0101"
"Mean","1.3084","0.2768","0.3184","1.0317","0.99",NA,NA
"Qu3.75%","1.6046","0.2917","0.3376","1.313","1.2849",NA,NA
"Max","2.0302","0.3356","0.3972","1.8419","1.6879",NA,NA
"IQR","0.5194","0.0153","0.0429","0.5191","0.4941",NA,NA
"SD","0.5088","0.0366","0.0355","0.5278","0.5071",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","0","0","0","0",NA,NA
