"","T2_DEM_60_1_4_IJ_direct_xyDisp","T2_DEM_60_1_4_IJ_direct_xyzDisp","T2_DEM_60_1_4_IJ_direct_xyDispAnual","T2_DEM_60_1_4_IJ_direct_xyzDispAnual","T2_DEM_60_1_4_IJ_direct_Aspect","T2_DEM_60_1_4_IJ_direct_Slope"
"Min.",0.0021,0.0025,4e-04,4e-04,0,-88.7934
"1st Qu.",1.5484,1.7157,0.2581,0.2859,14.4189,-31.3643
"Median",2.4482,2.7698,0.408,0.4616,23.124,-20.9384
"3rd Qu.",3.7951,4.147,0.6325,0.6912,33.9822,-10.7518
"Max.",7.9559,10.1897,1.326,1.6983,359.9999,86.6822
"NA's",2566682,2566682,2566682,2566682,2566682,2566682
"IQR",2.2467,2.4314,0.3744,0.4052,19.5634,20.6125
"SD",1.7454,1.9412,0.2909,0.3235,83.9156,18.5971
