"","Index","XY_Displacement_year","XYZ_Displacement_year","T2_DEM_60_1_0_IJ_direct_xyDispAnual","T2_DEM_60_1_0_IJ_direct_xyzDispAnual","T2_DEM_60_1_0_IJ_direct_xyDispAnualError","T2_DEM_60_1_0_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.1862","0.1921","-0.5735","-0.5922","RMSE: 0.2768","RMSE: 0.275"
"Qu1.25%","7.5","0.2787","0.3723","0.5104","0.561","-0.1195","-0.1388","Rsquared: 0.5823","Rsquared: 0.6248"
"Median","15","0.9124","0.9278","0.7392","0.824","-0.0645","-0.0368","MAE: 0.2067","MAE: 0.2045"
"Mean","15","0.7088","0.7778","0.7946","0.863","0.0192","0.0203",NA,NA
"Qu3.75%","22.5","1.111","1.1695","1.1001","1.1629","0.1607","0.1339",NA,NA
"Max","30","1.3583","1.5408","1.5284","1.6249","0.6346","0.6494",NA,NA
"IQR","15","0.8323","0.7972","0.5896","0.6019","0.2801","0.2727",NA,NA
"SD","9.0921","0.4734","0.4784","0.4055","0.443","0.2814","0.2795",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","4","4","4","4",NA,NA
