"","Index","XY_Displacement_year","XYZ_Displacement_year","T2_DEM_60_0_1_IJ_direct_xyDispAnual","T2_DEM_60_0_1_IJ_direct_xyzDispAnual","T2_DEM_60_0_1_IJ_direct_xyDispAnualError","T2_DEM_60_0_1_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.1977","0.2026","-0.3573","-0.2413","RMSE: 0.6649","RMSE: 0.6633"
"Qu1.25%","7.5","0.2787","0.3723","0.2417","0.2949","0.0321","0.0592","Rsquared: 0.1862","Rsquared: 0.0106"
"Median","15","0.9124","0.9278","0.2914","0.3327","0.6623","0.6038","MAE: 0.5777","MAE: 0.5663"
"Mean","15","0.7088","0.7778","0.2837","0.3348","0.474","0.4905",NA,NA
"Qu3.75%","22.5","1.111","1.1695","0.2931","0.3787","0.8416","0.8407",NA,NA
"Max","30","1.3583","1.5408","0.3922","0.4247","1.1262","1.2123",NA,NA
"IQR","15","0.8323","0.7972","0.0514","0.0838","0.8095","0.7815",NA,NA
"SD","9.0921","0.4734","0.4784","0.0533","0.0595","0.4746","0.4545",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","2","2","2","2",NA,NA
