"","X2015_2012_1","T2_DEM_60_1_2_IJ_direct_xyDispAnual","T2_DEM_60_1_2_IJ_direct_xyzDispAnual","T2_DEM_60_1_2_IJ_direct_xyDispAnualError","T2_DEM_60_1_2_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.1403","0.1441","0.0384","0.0346","RMSE: 0.6601","RMSE: 0.598"
"Qu1.25%","1.0853","0.5504","0.578","0.2816","0.2595","Rsquared: 0.4689","Rsquared: 0.5516"
"Median","1.5032","0.7239","0.8173","0.4903","0.4115","MAE: 0.5489","MAE: 0.494"
"Mean","1.3084","0.742","0.7969","0.5489","0.494",NA,NA
"Qu3.75%","1.6046","1.0332","1.0559","0.6797","0.536",NA,NA
"Max","2.0302","1.2532","1.5453","1.3063","1.1668",NA,NA
"IQR","0.5194","0.4829","0.4779","0.3981","0.2765",NA,NA
"SD","0.5088","0.3547","0.3821","0.3781","0.3474",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","1","1","1","1",NA,NA
