""," X2015_2012_1","T2_DEM_60_0_1_IJ_direct_xyDispAnual","T2_DEM_60_0_1_IJ_direct_xyDispAnualError","T2_DEM_60_0_1_IJ_direct_xyzDispAnual","T2_DEM_60_0_1_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"1","Min.   :0.1787  ","Min.   :0.1883  ","Min.   :-0.1126  ","Min.   :0.2619  ","Min.   :-0.1809  ","RMSE: 1.1521","RMSE: 1.1059"
"2","1st Qu.:1.0853  ","1st Qu.:0.2764  ","1st Qu.: 0.7938  ","1st Qu.:0.2947  ","1st Qu.: 0.7908  ","Rsquared: 0.2437","Rsquared: 0.0067"
"3","Median :1.5032  ","Median :0.2914  ","Median : 1.1926  ","Median :0.3046  ","Median : 1.1582  ","MAE: 1.0442","MAE: 1.0101"
"4","Mean   :1.3084  ","Mean   :0.2768  ","Mean   : 1.0317  ","Mean   :0.3184  ","Mean   : 0.9900  ",NA,NA
"5","3rd Qu.:1.6046  ","3rd Qu.:0.2917  ","3rd Qu.: 1.3130  ","3rd Qu.:0.3376  ","3rd Qu.: 1.2849  ",NA,NA
"6","Max.   :2.0302  ","Max.   :0.3356  ","Max.   : 1.8419  ","Max.   :0.3972  ","Max.   : 1.6879  ",NA,NA
"7",NA,NA,NA,NA,NA,NA,NA
"IQR","IQR_val: 0.5194","IQR_xy: 0.0153","IQR_xy_error: 0.5191","IQR_xyz: 0.0429","IQR_xyz_error: 0.4941",NA,NA
"sd","SD_val: 0.5088","SD_xy: 0.0366","SD_xyz: 0.0355","SD_xy_error: 0.5278","SD_xyz_error: 0.5071",NA,NA
