"","X2015_2012_1","T2_DEM_60_1_0_IJ_direct_xyDispAnual","T2_DEM_60_1_0_IJ_direct_xyzDispAnual","T2_DEM_60_1_0_IJ_direct_xyDispAnualError","T2_DEM_60_1_0_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.1399","0.1438","0.0133","-0.0254","RMSE: 0.5466","RMSE: 0.4824"
"Qu1.25%","1.0853","0.5945","0.6248","0.2279","0.1887","Rsquared: 0.5972","Rsquared: 0.6489"
"Median","1.5032","0.9303","0.9907","0.3997","0.3415","MAE: 0.4475","MAE: 0.3843"
"Mean","1.3084","0.8609","0.927","0.4475","0.3814",NA,NA
"Qu3.75%","1.6046","1.1645","1.273","0.5503","0.4474",NA,NA
"Max","2.0302","1.4065","1.7121","1.1409","1.117",NA,NA
"IQR","0.5194","0.57","0.6482","0.3224","0.2586",NA,NA
"SD","0.5088","0.4003","0.4476","0.323","0.3038",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","0","0","0","0",NA,NA
