"","X2015_2012_1","T2_DEM_60_2_1_IJ_direct_xyDispAnual","T2_DEM_60_2_1_IJ_direct_xyzDispAnual","T2_DEM_60_2_1_IJ_direct_xyDispAnualError","T2_DEM_60_2_1_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.1235","0.1267","0.0552","0.052","RMSE: 0.6468","RMSE: 0.5855"
"Qu1.25%","1.0853","0.5466","0.5757","0.3879","0.3223","Rsquared: 0.6612","Rsquared: 0.6912"
"Median","1.5032","0.8189","0.8476","0.5581","0.5309","MAE: 0.5706","MAE: 0.5129"
"Mean","1.3084","0.7378","0.7956","0.5706","0.5129",NA,NA
"Qu3.75%","1.6046","0.966","1.0297","0.797","0.6918",NA,NA
"Max","2.0302","1.3091","1.6215","1.0867","0.9511",NA,NA
"IQR","0.5194","0.4194","0.454","0.4091","0.3695",NA,NA
"SD","0.5088","0.3109","0.3555","0.3135","0.2906",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","0","0","0","0",NA,NA
