"","X2015_2012_1","T2_DEM_60_4_1_IJ_direct_xyDispAnual","T2_DEM_60_4_1_IJ_direct_xyzDispAnual","T2_DEM_60_4_1_IJ_direct_xyDispAnualError","T2_DEM_60_4_1_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.1317","0.1347","-0.0174","-0.0533","RMSE: 0.5555","RMSE: 0.4868"
"Qu1.25%","1.0853","0.6008","0.6315","0.1844","0.1164","Rsquared: 0.5513","Rsquared: 0.6342"
"Median","1.5032","0.8319","0.9658","0.3907","0.3278","MAE: 0.4426","MAE: 0.3844"
"Mean","1.3084","0.8503","0.9127","0.4405","0.3781",NA,NA
"Qu3.75%","1.6046","1.1662","1.1813","0.6133","0.4228",NA,NA
"Max","2.0302","1.4371","1.6292","1.0968","0.9426",NA,NA
"IQR","0.5194","0.5654","0.5498","0.4289","0.3064",NA,NA
"SD","0.5088","0.4158","0.4511","0.3489","0.3161",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","1","1","1","1",NA,NA
